assertion_id,record_id,assertion_type,printed_form,start_line,start_character,review_status
asrt.2ccdf2778c0ae14e347c3089,126,FAUNA_MENTION,யானை,1,8,human_review_required
asrt.a54b7dd4a69d9f4b7aac6ede,126,COMMODITY_MENTION,பொன்,1,19,human_review_required
asrt.e88d557182ceb7dc546df281,127,COMMUNITY_MENTION,பாணர்,2,16,human_review_required
asrt.56d209ab6b6618518db49c7c,127,GIFT_MENTION,ஈகை,5,0,human_review_required
asrt.3a358e6a72f82459adc69f41,128,KINSHIP_MENTION,மகள்,6,4,human_review_required
asrt.3fc2d06ecfcb6cd28b60c832,129,FLORA_MENTION,வேங்கை,3,0,human_review_required
asrt.fe89e5392563e766a89d6945,130,FAUNA_MENTION,யானை,5,7,human_review_required
asrt.5c3ed3340bfd7ad0bafcb647,131,FAUNA_MENTION,களிறு,4,0,human_review_required
asrt.fc12411b707b2b837996be81,135,COMMUNITY_MENTION,பாணர்,16,0,human_review_required
asrt.9cf4e9000beedeef880203b3,135,FAUNA_MENTION,யானை,12,7,human_review_required
asrt.3405b91f06aee2387b30c684,136,RULER_MENTION,ஆய்,15,32,human_review_required
asrt.ab61a2cdf85320298ac8a0ad,136,FLORA_MENTION,மரம்,12,0,human_review_required
asrt.6f1ca7676ed4090a235eef43,136,GIFT_MENTION,பரிசில்,24,17,human_review_required
asrt.cedf195996bd6ab0b15c66a0,137,KINSHIP_MENTION,தந்தை,14,16,human_review_required
asrt.98ae420ac4a4c9829e48736f,137,FLORA_MENTION,வேங்கை,9,10,human_review_required
asrt.cc2c3e226be25bb0475ccd5b,137,FAUNA_MENTION,யானை,1,26,human_review_required
asrt.48d6736e437dd88da7daddfb,137,COMMODITY_MENTION,பொன்,10,0,human_review_required
asrt.e0c2b7531fae35a15d2c5acb,139,GIFT_MENTION,பரிசில்,9,14,human_review_required
asrt.1490ced608891bc5edbae547,144,FLORA_MENTION,முல்லை,14,0,human_review_required
asrt.e423b213719132de322b500f,145,GIFT_MENTION,பரிசில்,8,15,human_review_required
asrt.684c894becec7743f30c54c9,146,GIFT_MENTION,பரிசில்,5,0,human_review_required
asrt.57380390366c017558c69af1,147,GIFT_MENTION,பரிசில்,9,12,human_review_required
